福岡ミュージアムウイーク2015	福岡市博物館	福岡市内13の美術館や博物館で「福岡ミュージアムウイーク2015」が開催されます。期間中は、常設展示の観覧料や入館料が無料または割引（要リーフレット持参）になる他、館内やバックヤードのツアー、ギャラリートークなど、それぞれのミュージアムでイベントが企画されています。
福岡市美術館ハイライトツアー	福岡市美術館1階　案内カウンター前	ボランティアと一緒に当館のコレクションを見る入門編ツアーです。 　参加無料、事前申し込み不要。
アニッダ・ユー・アリ　パフォーマンス記録展　福岡アジア美術館　FT5プレイバック（2）	福岡アジア美術館　彫刻ラウンジ	アニッダ・ユー・アリ（カンボジア）が、昨年開催された第5回福岡アジア美術トリエンナーレ2014（FT5）の滞在制作作品としておこなったパフォーマンスの記録映像と写真を展示します。 　無料。
フリーマガジンフェア	文化芸術情報館アートリエ	おしゃれで読み物としても魅力的な地域発信型「フリーマガジン」「フリーペーパー」を全国から集めて紹介します。数量限定でお持ち帰り可能な冊子もあります。
10円絵はがきセール	福岡市博物館ミュージアムショップ	福岡市美術館・福岡アジア美術館・福岡市博物館収蔵品の絵はがきの一部を税込10円で販売します。 　「源氏物語図屏風」（福岡市美術館）、「一の谷形兜（部分）」（福岡市博物館）、「リキシャ」（福岡アジア美術館）など。 　数量限定のものもありますので、お早めにどうぞ。
「本と出会えるミュージアム2015」　福岡市美術館	福岡市美術館　読書室、キッズコーナー	読書室では、「本で知るアートの世界」として、美術に初めてふれる子どもや、最近美術に興味を持ち始めた初心者向けのアート本をご紹介。子どものみならず、大人も楽しめる本をそろえています。  　また、キッズコーナー　もりのたねでは、「絵本になった作品たち」と題し、福岡市美術館の所蔵作品を掲載した絵本、美術館所蔵作家が作成した絵本を特集。その他、内外の美術作品を掲載した絵本も紹介します。
「本と出会えるミュージアム2015」　福岡市博物館	福岡市博物館　2階　読書室	「いま、手にとってほしい本。いつか、手にとってほしい本」と題し、子どもたちにおすすめの書籍や、博物館の刊行活動（福岡市史、黒田家文書等）をご紹介します。
少年科学文化会館プラネタリウム　2015年春番組 「ほしぞら動物園～小さな王と宝物～」	福岡市立少年文化会館	少年科学文化会館のプラネタリウムでは、2015年の春番組として「ほしぞら動物園～小さな王と宝物～」を上映します。春の星座解説もあわせてお楽しみください。投映開始時刻や観覧料など、詳しくは関連ホームページをご覧ください。 　土曜日・日曜日･祝日の雨の日は混雑します。チケットは投映開始の10分前から発売・配付しますが、チケット窓口に30分以上から行列ができることもあります。満席でおことわりすることもございます。なにとぞご了承ください。
本と出会えるミュージアム「アジアのみんなの絵本」特別展示　福岡アジア美術館	福岡アジア美術館　図書閲覧室	アジア21ヵ国・地域の絵本や子ども向けの本を集め、各国ごとに紹介しています。おなじみの絵本シリーズを、日本語、英語、韓国語など各国語で紹介するコーナーもあります。各国の言葉に訳された1冊の絵本を比べてみませんか？ふだんはなかなか行かない美術館の図書閲覧室、この機会にぜひ覗いて見てください。
障がい者アート展「fukuoka plus gallery」　第3期展示	福岡市役所　1階市民ロビー　アートスペース	福岡市では、みんながやさしい、みんなにやさしい「ユニバーサル都市・福岡」を実現するための一環として、障がい者施設商品を通して障がいのある方と社会とのつながりを深める取り組み「ときめきプロジェクト」を推進しております。福岡市内の障がい者施設で活動する作家のアート作品を展示する「fukuoka plus gallery」の第3期展示を開催中です。今回のテーマは「Spring（春）」です。
小津安二郎監督特集	福岡市総合図書館　映像ホール・シネラ	カラーデジタル復元版の4作品を含む、小津安二郎監督作品の特集。観覧料は、600円（大人）、500円（大学生・高校生）、400円（中学生・小学生）。定員制、各回入替制。前売り券はありません。
春のバラに会いに行こう♪　福岡市植物園	福岡市植物園	5月はバラの季節です。約250種、1,100株のバラが咲く福岡市植物園では、バラの人気投票やバラガイドなどのイベントを行います。
